piseti;RW;0x3207;U16;60
gpsi;RW;0x3208;U16;60
fsti;R;0x3209;U16;60
ipvmaxi;RW;0x320C;U16;60
vpvmaxi;RW;0x320E;U16;60
vpvmini;RW;0x320F;U16;60
idsi;RW;0x3210;U16;60
vgmax1i;RW;0x3225;U16;60
vgmin1i;RW;0x3226;U16;60
fgmax1i;RW;0x3227;U16;60
fgmin1i;RW;0x3228;U16;60
vgmax2i;RW;0x3229;U16;60
vgmin2i;RW;0x322A;U16;60
fgmax2i;RW;0x322B;U16;60
fgmin2i;RW;0x322C;U16;60
ospi;RW;0x3247;U16;10
pgchmi;RW;0x3248;U16;60
pgslmi;RW;0x3249;U16;60
bti;RW;0x324A;U16;60
cbseti;RW;0x324B;U16;60
vbhi;RW;0x324C;U16;60
vbli;RW;0x324D;U16;60
vbcli;RW;0x324E;U16;60
vbldi;RW;0x324F;U16;60
bdodi;RW;0x3250;U16;60
vbcvi;RW;0x3251;U16;60
bflti;RW;0x3252;U16;60
ichmi;RW;0x3253;U16;60
idsmi;RW;0x3254;U16;60
socmi;RW;0x3271;U16;60
ogei;RW;0x3272;U16;60
socfi;RW;0x3273;U16;60
socli;RW;0x3274;U16;60
smci;RW;0x3276;U16;60
drmci;RW;0x3277;U16;60
pgfcmi;RW;0x3279;U16;60
mei;RW;0x3630;U16;60
madri;RW;0x3631;U16;60
buzi;RW;0x3632;U16;60
rs485i;RW;0x3633;U16;60
rs485spi;RW;0x3634;U16;60
gtei;RW;0x3635;U16;60
setpasmodi;RW;0x3636;U16;60
pgpaschi;RW;0x3637;U16;60
pgpasdsi;RW;0x3638;U16;60
bpi;RW;0x363B;U16;60
systimei;RW;0x4000;H64;60
wmi;R;0x4004;U16;10
w1i;R;0x4005;U32;10
w2i;R;0x4007;U32;10
w3i;R;0x4009;U32;10
w4i;R;0x400B;U32;10
w5i;R;0x400D;U32;10
thsi;R;0x4010;U16;60
igfci;R;0x4012;I16;10
isoi;R;0x4016;U16;10
vg1i;R;0x4031;U16;1
ig1i;R;0x4032;I16;1
fg1i;R;0x4033;U16;1
pg1acti;R;0x4035;I16;1
pg1appi;R;0x4036;U16;1
v1i;R;0x4046;U16;10
i1i;R;0x4047;I16;10
f1i;R;0x4048;U16;10
p1acti;R;0x4049;I16;1
p1appi;R;0x404A;U16;1
vc1i;R;0x4055;U16;10
ic1i;R;0x4056;U16;10
fc1i;R;0x4057;U16;10
pc1acti;R;0x4059;U16;1
pc1appi;R;0x405A;U16;1
vhbi;R;0x4067;U16;10
vsbi;R;0x4068;U16;10
vdci;R;0x4069;U16;1
ibi;R;0x406A;I16;1
pbi;R;0x406D;I16;1
tbi;R;0x406E;I16;60
socbi;R;0x406F;U16;60
vpv1i;R;0x4071;U16;60
ipv1i;R;0x4072;U16;60
ppv1i;R;0x4073;U16;60
vpv2i;R;0x4074;U16;60
ipv2i;R;0x4075;U16;60
ppv2i;R;0x4076;U16;60
psysti;R;0x40A0;I16;1
pgcti;R;0x40A1;I16;1
ppvti;R;0x40A5;I16;1
pbti;R;0x40A6;I16;1
pgtacti;R;0x40A7;I16;1
pgtappi;R;0x40A8;I16;1
pitacti;R;0x40A9;I16;1
pitappi;R;0x40AA;I16;1
pepsacti;R;0x40AB;U16;1
pepsappi;R;0x40AC;U16;1
pgi;R;0x40AD;I16;1
epvi;R;0x40C5;U32;60
echi;R;0x40CD;U32;60
edsi;R;0x40D5;U32;60
eci;R;0x40E5;U32;60
eepsi;R;0x40ED;U32;60
esli;R;0x40F5;U32;60
ebyi;R;0x40FD;U32;60
wclri;C;0x8015;U16;0
rsti;C;0x801A;U16;0
eclri;C;0x801B;U16;0
rstfacti;C;0x801C;U16;0
dlngi;C;0x8026;U16;0
bnumi;R;0xA000;U16;60
cbti;R;0xA001;U16;60
slftstmdeni;C;0x1100;U16;0
slftstcmdi;C;0x1101;U16;0
slftstpli;C;0x1102;U16;0
slftstpi;W;0x1103;U16;4
slftstmssi;W;0x1107;U16;0
slftstmpmsi;W;0x1108;U16;0
slftstpv1vulsi;W;0x1109;U16;0
slftstpv1vllsi;W;0x110A;U16;0
slftstpv2vulsi;W;0x110B;U16;0
slftstpv2vllsi;W;0x110C;U16;0
slftstl1vulsi;W;0x110D;U16;0
slftstl1vllsi;W;0x110E;U16;0
slftstl1fulsi;W;0x110F;U16;0
slftstl1fllsi;W;0x1110;U16;0
slftstcmdexsti;R;0x1120;U16;60
slftstcmdexrri;R;0x1121;U16;0
slftstkvri;R;0x1122;U16;0
slftstri;R;0x112D;U16;0
slftsttstcmdi;C;0x112E;U16;0
slftstcmdsti;R;0x112F;U16;1
slftstovpvti;R;0x1130;U16;1
slftstovpvsi;R;0x1131;U16;1
slftstovpvoi;R;0x1132;U16;1
slftstovptti;R;0x1133;U16;1
slftstovptoi;R;0x1134;U16;1
slftstovpti;R;0x1135;H64;1
slftstovpcrci;R;0x1139;U16;1
slftstovp10vti;R;0x113A;U16;1
slftstovp10vsi;R;0x113B;U16;1
slftstovp10voi;R;0x113C;U16;1
slftstovp10tti;R;0x113D;U16;1
slftstovp10toi;R;0x113E;U16;1
slftstovp10ti;R;0x113F;H64;1
slftstovp10crci;R;0x1143;U16;1
slftstuvpvti;R;0x1144;U16;1
slftstuvpvsi;R;0x1145;U16;1
slftstuvpvoi;R;0x1146;U16;1
slftstuvptti;R;0x1147;U16;1
slftstuvptoi;R;0x1148;U16;1
slftstuvpti;R;0x1149;H64;1
slftstuvpcrci;R;0x114D;U16;1
slftstuvp2vti;R;0x114E;U16;1
slftstuvp2vsi;R;0x114F;U16;1
slftstuvp2voi;R;0x1150;U16;1
slftstuvp2tti;R;0x1151;U16;1
slftstuvp2toi;R;0x1152;U16;1
slftstuvp2ti;R;0x1153;H64;1
slftstuvp2crci;R;0x1157;U16;1
slftstofpfti;R;0x1158;U16;1
slftstofpfsi;R;0x1159;U16;1
slftstofpfoi;R;0x115A;U16;1
slftstofptti;R;0x115B;U16;1
slftstofptoi;R;0x115C;U16;1
slftstofpti;R;0x115D;H64;1
slftstofpcrci;R;0x1161;U16;1
slftstofp2fti;R;0x1162;U16;1
slftstofp2fsi;R;0x1163;U16;1
slftstofp2foi;R;0x1164;U16;1
slftstofp2tti;R;0x1165;U16;1
slftstofp2toi;R;0x1166;U16;1
slftstofp2ti;R;0x1167;H64;1
slftstofp2crci;R;0x116B;U16;1
slftstufpfti;R;0x116C;U16;1
slftstufpfsi;R;0x116D;U16;1
slftstufpfoi;R;0x116E;U16;1
slftstufptti;R;0x116F;U16;1
slftstufptoi;R;0x1170;U16;1
slftstufpti;R;0x1171;H64;1
slftstufpcrci;R;0x1175;U16;1
slftstufp2fti;R;0x1176;U16;1
slftstufp2fsi;R;0x1177;U16;1
slftstufp2foi;R;0x1178;U16;1
slftstufp2tti;R;0x1179;U16;1
slftstufp2toi;R;0x117A;U16;1
slftstufp2ti;R;0x117B;H64;1
slftstufp2crci;R;0x117F;U16;1
ecfgflgi;RW;0x3202;U16;60
ecfgfvernumi;R;0x3203;U16;60
scbhwvconi;RW;0x3204;U16;60
spbhwvcvni;RW;0x3205;U16;60
sinvmmodi;RW;0x3206;U16;60
sifwrdi;RW;0x3209;U16;60
ipvmi;RW;0x320C;U16;60
busovprvi;RW;0x320D;U16;60
mpmaxvi;RW;0x320E;U16;60
mpminvi;RW;0x320F;U16;60
maxdccomi;RW;0x3211;U16;60
maxleacurtgi;RW;0x3212;U16;60
grdvltconprvi;RW;0x3213;U16;60
grdfrconprvi;RW;0x3214;U16;60
dccomconprvi;RW;0x3215;U16;60
prvofgrleacconi;RW;0x3216;U16;60
strtvolti;RW;0x3217;U16;60
shutoffvlrgi;RW;0x3218;U16;60
isorestri;RW;0x3219;U16;60
reconntimei;RW;0x321A;U16;60
wrngtmi;RW;0x321B;U16;60
powlimi;RW;0x321C;U16;60
reacpowcmmi;RW;0x321D;U16;60
reacpowcmvi;RW;0x321E;U16;60
reacpowcpai;RW;0x321F;U16;60
reacpowcpbi;RW;0x3220;U16;60
reacpowcsvpi;RW;0x3221;U16;60
reacpowccvpi;RW;0x3222;U16;60
